"Step","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_9_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_9_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_9_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_8_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_8_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_8_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_7_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_7_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_7_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_6_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_6_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_6_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_5_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_5_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_5_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_4_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_4_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_4_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_3_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_3_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_3_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_2_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_2_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_2_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_1_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_1_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_1_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_0_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_0_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_0_contcorrect_True - current_best_fitness__MAX"
"0","-150.40625","-150.40625","-150.40625","-200","-200","-200","-177.1953125","-177.1953125","-177.1953125","-200","-200","-200","-200","-200","-200","-200","-200","-200","-172.4140625","-172.4140625","-172.4140625","-200","-200","-200","-200","-200","-200","-200","-200","-200"
"1","-141.2421875","-141.2421875","-141.2421875","-200","-200","-200","-108.3515625","-108.3515625","-108.3515625","-200","-200","-200","-200","-200","-200","-200","-200","-200","-137.59375","-137.59375","-137.59375","-200","-200","-200","-200","-200","-200","-198.90625","-198.90625","-198.90625"
"2","-89.5078125","-89.5078125","-89.5078125","-199.9296875","-199.9296875","-199.9296875","-100.9609375","-100.9609375","-100.9609375","-196.6640625","-196.6640625","-196.6640625","-170.0390625","-170.0390625","-170.0390625","-200","-200","-200","-102.25","-102.25","-102.25","-200","-200","-200","-96.5625","-96.5625","-96.5625","-176.484375","-176.484375","-176.484375"
"3","-97.9453125","-97.9453125","-97.9453125","-183.625","-183.625","-183.625","-95.3359375","-95.3359375","-95.3359375","-189.9453125","-189.9453125","-189.9453125","-169.5625","-169.5625","-169.5625","-200","-200","-200","-93.59375","-93.59375","-93.59375","-200","-200","-200","-82.9921875","-82.9921875","-82.9921875","-115.625","-115.625","-115.625"
"4","-82.1796875","-82.1796875","-82.1796875","-106.78125","-106.78125","-106.78125","-84.015625","-84.015625","-84.015625","-189.3515625","-189.3515625","-189.3515625","-178.0703125","-178.0703125","-178.0703125","-200","-200","-200","-95.7734375","-95.7734375","-95.7734375","-200","-200","-200","-81.109375","-81.109375","-81.109375","-88.6484375","-88.6484375","-88.6484375"
"5","-79.015625","-79.015625","-79.015625","-88.7265625","-88.7265625","-88.7265625","-85.3984375","-85.3984375","-85.3984375","-182.9453125","-182.9453125","-182.9453125","-174.2265625","-174.2265625","-174.2265625","-200","-200","-200","-90.4609375","-90.4609375","-90.4609375","-117.75","-117.75","-117.75","-82.7265625","-82.7265625","-82.7265625","-86.7734375","-86.7734375","-86.7734375"
"6","-80.9921875","-80.9921875","-80.9921875","-85.125","-85.125","-85.125","-85.875","-85.875","-85.875","-176.4609375","-176.4609375","-176.4609375","-162.2890625","-162.2890625","-162.2890625","-200","-200","-200","-95.859375","-95.859375","-95.859375","-99.9765625","-99.9765625","-99.9765625","-81.2890625","-81.2890625","-81.2890625","-85.6796875","-85.6796875","-85.6796875"
"7","-78.5390625","-78.5390625","-78.5390625","-81.15625","-81.15625","-81.15625","-86.3359375","-86.3359375","-86.3359375","-172.828125","-172.828125","-172.828125","-161.53125","-161.53125","-161.53125","-199.9609375","-199.9609375","-199.9609375","-82.640625","-82.640625","-82.640625","-95.6796875","-95.6796875","-95.6796875","-85.3515625","-85.3515625","-85.3515625","-85.5390625","-85.5390625","-85.5390625"
"8","-82.1640625","-82.1640625","-82.1640625","-84.953125","-84.953125","-84.953125","-86.1484375","-86.1484375","-86.1484375","-163.796875","-163.796875","-163.796875","-156.8828125","-156.8828125","-156.8828125","-199.4609375","-199.4609375","-199.4609375","-85.7265625","-85.7265625","-85.7265625","-96.1328125","-96.1328125","-96.1328125","-83.15625","-83.15625","-83.15625","-85.546875","-85.546875","-85.546875"
"9","-80.4296875","-80.4296875","-80.4296875","-86.15625","-86.15625","-86.15625","-80.9140625","-80.9140625","-80.9140625","-173.4375","-173.4375","-173.4375","-156.9453125","-156.9453125","-156.9453125","-197.8984375","-197.8984375","-197.8984375","-89.953125","-89.953125","-89.953125","-89.6875","-89.6875","-89.6875","-80.8203125","-80.8203125","-80.8203125","-86.625","-86.625","-86.625"
"10","-81.6953125","-81.6953125","-81.6953125","-81.2890625","-81.2890625","-81.2890625","-83.6875","-83.6875","-83.6875","-171.140625","-171.140625","-171.140625","-153.8984375","-153.8984375","-153.8984375","-196.109375","-196.109375","-196.109375","-79.6796875","-79.6796875","-79.6796875","-96.4765625","-96.4765625","-96.4765625","-80.7890625","-80.7890625","-80.7890625","-83.5625","-83.5625","-83.5625"
"11","-81.6796875","-81.6796875","-81.6796875","-81.6171875","-81.6171875","-81.6171875","-83.609375","-83.609375","-83.609375","-172.6953125","-172.6953125","-172.6953125","-138.9921875","-138.9921875","-138.9921875","-192.2265625","-192.2265625","-192.2265625","-84.96875","-84.96875","-84.96875","-96.6328125","-96.6328125","-96.6328125","-82.1484375","-82.1484375","-82.1484375","-84.3203125","-84.3203125","-84.3203125"
"12","-80.7890625","-80.7890625","-80.7890625","-84.5625","-84.5625","-84.5625","-83.5390625","-83.5390625","-83.5390625","-178.296875","-178.296875","-178.296875","-142.234375","-142.234375","-142.234375","-191.8046875","-191.8046875","-191.8046875","-84.34375","-84.34375","-84.34375","-102.9140625","-102.9140625","-102.9140625","-80.4140625","-80.4140625","-80.4140625","-82.8671875","-82.8671875","-82.8671875"
"13","-79.7734375","-79.7734375","-79.7734375","-79.9921875","-79.9921875","-79.9921875","-85.484375","-85.484375","-85.484375","-176.3125","-176.3125","-176.3125","-139.8359375","-139.8359375","-139.8359375","-188.703125","-188.703125","-188.703125","-85.25","-85.25","-85.25","-97.796875","-97.796875","-97.796875","-78.921875","-78.921875","-78.921875","-80.8515625","-80.8515625","-80.8515625"
"14","-79.90625","-79.90625","-79.90625","-80.578125","-80.578125","-80.578125","-81.34375","-81.34375","-81.34375","-173.578125","-173.578125","-173.578125","-142.484375","-142.484375","-142.484375","-183.6015625","-183.6015625","-183.6015625","-87.171875","-87.171875","-87.171875","-89.7734375","-89.7734375","-89.7734375","-78.1953125","-78.1953125","-78.1953125","-82.6015625","-82.6015625","-82.6015625"
"15","-81","-81","-81","-80.2890625","-80.2890625","-80.2890625","-83.0234375","-83.0234375","-83.0234375","-166.8984375","-166.8984375","-166.8984375","-139.8359375","-139.8359375","-139.8359375","-181.6640625","-181.6640625","-181.6640625","-81.5390625","-81.5390625","-81.5390625","-84.734375","-84.734375","-84.734375","-80.84375","-80.84375","-80.84375","-80.6640625","-80.6640625","-80.6640625"
"16","-79.875","-79.875","-79.875","-78.90625","-78.90625","-78.90625","-82.484375","-82.484375","-82.484375","-180.625","-180.625","-180.625","-136.6484375","-136.6484375","-136.6484375","-181.046875","-181.046875","-181.046875","-81.390625","-81.390625","-81.390625","-89.3828125","-89.3828125","-89.3828125","-81.0390625","-81.0390625","-81.0390625","-83.1875","-83.1875","-83.1875"
